Train Loss, Train Acc, Val Loss, Val Acc
2.858853549,0.373645866,2.568590869,0.376555402
2.094834751,0.453122461,2.321112938,0.417687142
1.932253708,0.483114242,2.2064245,0.441149845
1.839050632,0.500290213,2.217144479,0.432714464
1.776380447,0.515279139,2.189188067,0.441618935
1.726745833,0.525875399,2.177445842,0.448490684
1.687646876,0.537335333,2.216655478,0.444153664
1.648415183,0.547216508,2.228645327,0.448507143
1.61806403,0.55569073,2.196749367,0.444663902
1.592232248,0.563454511,2.318716005,0.44561854
1.569032784,0.572230555,2.331369722,0.445314043
1.54634563,0.579585715,2.363375999,0.446606097
1.525182775,0.585868248,2.385854221,0.446318059
1.511318394,0.59355309,2.425434173,0.44742906
1.495878953,0.600248887,2.48428671,0.444779116
1.477319935,0.605472722,2.432524805,0.436870433
1.468122222,0.609925752,2.48972574,0.439117124
1.45859378,0.615488556,2.52614553,0.441100467
1.45230685,0.620633454,2.731396526,0.437627559
1.439454175,0.624492127,2.606953259,0.437421818
